NumberDevice UserId Block Sequence NumberClicks NumberCircles CircleID DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY TargetWidth ElapsedTime MouseX MouseY
2 24 1 1 1 16 3 350 933 126 666 773 60 904 691 675
2 24 1 1 1 16 3 350 933 126 666 773 60 904 691 676
2 24 1 1 1 16 3 350 933 126 666 773 60 904 686 692
2 24 1 1 1 16 3 350 933 126 666 773 60 904 683 705
2 24 1 1 1 16 3 350 933 126 666 773 60 904 680 725
2 24 1 1 1 16 3 350 933 126 666 773 60 904 678 734
2 24 1 1 1 16 3 350 933 126 666 773 60 904 676 741
2 24 1 1 1 16 3 350 933 126 666 773 60 904 676 744
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 3 350 933 126 666 773 60 904 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 675 745
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 698 711
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 770 605
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 909 412
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 999 309
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1069 229
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1081 217
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1089 210
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1087 208
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1081 204
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1067 199
2 24 1 1 1 16 4 350 666 773 1047 202 60 864 1059 199
