"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 850 284.682279041039 -2.8421709430404e-14 283.958665331419 -116.17863996105 FALSE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 752 844 284.682279041039 -2.8421709430404e-14 280.157937011958 -111.429485905679 FALSE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 748 825 284.682279041039 -2.8421709430404e-14 268.678472919537 -95.7699231994335 FALSE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 728 799 284.682279041039 -2.8421709430404e-14 262.664751216287 -63.5234481784975 FALSE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 696 780 284.682279041039 -2.8421709430404e-14 269.872786809202 -27.0125700338778 FALSE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 688 777 284.682279041039 -2.8421709430404e-14 272.978002922329 -19.0528192280563 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 680 774 284.682279041039 -2.8421709430404e-14 276.083219035456 -11.0930684222349 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 678 774 284.682279041039 -2.8421709430404e-14 277.418040441552 -9.60368874806528 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 673 773 284.682279041039 -2.8421709430404e-14 280.010404119705 -5.21282885959363 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 284.682279041039 -2.8421709430404e-14 281.345225525801 -3.72344918542402 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 284.682279041039 -2.8421709430404e-14 281.345225525801 -3.72344918542402 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 284.682279041039 -2.8421709430404e-14 281.345225525801 -3.72344918542402 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775 284.682279041039 -2.8421709430404e-14 286.839069418256 -0.590131569010623 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775 284.682279041039 -2.8421709430404e-14 286.839069418256 -0.590131569010623 TRUE
1 24 1 1 1 16 3 350 933 126 666 773 60 783 664 775 284.682279041039 -2.8421709430404e-14 287.506480121304 0.154558268074169 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 985 378 186.601178988773 -2.1316282072803e-14 0 0 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1025 309 186.601178988773 -2.1316282072803e-14 78.3703515661061 14.8016213775701 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 294 186.601178988773 -2.1316282072803e-14 94.8439881029092 16.4200463073406 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 291 186.601178988773 -2.1316282072803e-14 98.0058116412026 16.366456077878 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 289 186.601178988773 -2.1316282072803e-14 99.8921877182862 15.7019372325418 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 279 186.601178988773 -2.1316282072803e-14 109.656327526372 13.3225310444023 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 275 186.601178988773 -2.1316282072803e-14 114.093598525875 13.8798694308134 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270 186.601178988773 -2.1316282072803e-14 119.47405756392 14.1049483945563 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270 186.601178988773 -2.1316282072803e-14 119.47405756392 14.1049483945563 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 262 186.601178988773 -2.1316282072803e-14 127.019561872254 11.4468730132113 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1039 256 186.601178988773 -2.1316282072803e-14 133.010949526173 10.3965045157444 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1043 243 186.601178988773 -2.1316282072803e-14 146.601431717888 9.84988417522584 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 241 186.601178988773 -2.1316282072803e-14 148.82006721764 10.1285533684314 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 240 186.601178988773 -2.1316282072803e-14 149.763255256182 9.79629394576325 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 238 186.601178988773 -2.1316282072803e-14 151.649631333265 9.13177510042701 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1045 233 186.601178988773 -2.1316282072803e-14 156.697830948642 8.41366602562817 FALSE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 230 186.601178988773 -2.1316282072803e-14 159.859654486935 8.36007579616556 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 226 186.601178988773 -2.1316282072803e-14 163.632406641102 7.03103810549309 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 225 186.601178988773 -2.1316282072803e-14 164.575594679644 6.69877868282497 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 224 186.601178988773 -2.1316282072803e-14 165.851042140854 7.3097072986986 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 222 186.601178988773 -2.1316282072803e-14 167.737418217938 6.64518845336237 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 221 186.601178988773 -2.1316282072803e-14 168.680606256479 6.31292903069424 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 186.601178988773 -2.1316282072803e-14 169.623794295021 5.98066960802613 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 186.601178988773 -2.1316282072803e-14 169.623794295021 5.98066960802613 TRUE
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 186.601178988773 -2.1316282072803e-14 169.623794295021 5.98066960802613 TRUE
