"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 932 96 671.131879737507 -8.5265128291212e-14 700.296043430127 -7.10292588375404 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 931 106 671.131879737507 -8.5265128291212e-14 690.302478525084 -6.04054154242479 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 136 671.131879737507 -8.5265128291212e-14 660.321783809956 -2.85338851843701 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 141 671.131879737507 -8.5265128291212e-14 655.427067735249 -1.83272474030161 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 145 671.131879737507 -8.5265128291212e-14 651.511294875482 -1.01619371779327 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 145 671.131879737507 -8.5265128291212e-14 651.511294875482 -1.01619371779327 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146 671.131879737507 -8.5265128291212e-14 650.532351660541 -0.812060962166186 TRUE
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146 679.538814196805 1.4210854715202e-13 0 0 FALSE
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146 679.538814196805 1.4210854715202e-13 0 0 FALSE
