"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
2 24 2 1 10 0 0 0 3 1 13.9917293785335 20.4508231653285 -20.4508231653285 694.665099021942 -7.64200241012301 1.168 60 700 692.096091594224
2 24 2 1 11 0 0 2 2 1 27.4491714606803 25.64113043143 23.7961213710145 711.586305278174 -3.15121255349487 0.929 60 700 701
2 24 2 1 12 0 0 0 3 0 16.0775749969422 25.8118458254335 -25.8118458254335 675.421613801792 -7.91477159382885 1.313 60 700 696.166646716144
2 24 2 1 13 0 0 0 1 1 12.1493899266672 16.1453295376935 -16.1453295376935 680.323330725668 -14.8379806690053 0.835 60 700 678.124619815562
2 24 2 1 14 0 0 1 4 1 12.3576328206194 13.9727742901427 -11.8253128556766 685.859319709341 -3.60465918494691 0.941 60 700 685.779118958867
2 24 2 1 15 0 0 0 3 2 18.3995954662758 17.5109600693449 17.5109600693449 698.459445072148 1.84488197660266 0.822 60 700 699.2317212484
2 24 2 2 1 0 0 1 2 0 15.155838186395 13.6243854941094 -6.0054262078122 706.05912969329 -6.12416335137599 0.782 60 700 724.017264987514
2 24 2 2 2 0 0 1 2 0 15.3429365252399 12.320800900758 6.35245575902541 665.235052343073 0.570205321841797 0.748 60 700 668.180364871641
2 24 2 2 3 0 0 0 5 0 3.36784614649486 11.8222899343319 11.8222899343318 682.442277571491 11.5125055064417 0.792 60 700 697.154932565208
2 24 2 2 4 0 1 1 2 1 19.0744196278827 16.8105578767591 5.02012439595812 678.074152210054 3.52762024830685 1.154 60 700 674.392319054718
2 24 2 2 5 0 0 1 2 1 23.1724166232419 32.1599144731006 -31.8602518242608 700.705931766538 -10.5923173662569 1.058 60 700 704.28403361144
2 24 2 2 6 0 0 1 2 0 21.0173262939271 31.6272237921581 31.274093107069 685.079489448818 22.2506884510715 0.86 60 700 680.967693800521
2 24 2 2 7 0 0 0 1 0 20.218256126869 26.0285136486277 -26.0285136486277 712.208398066394 -3.03277491749392 0.69 60 700 708.921716411622
2 24 2 2 8 0 0 1 2 1 22.7866167883872 22.746767074308 -21.8565800596883 690.524156467663 1.17870039557945 0.913 60 700 689.742705651897
2 24 2 2 9 0 0 1 4 0 9.6866638883637 13.646238222366 13.5096153552843 704.029240855347 19.9957000538552 1.104 60 700 701.000713266399
2 24 2 2 10 0 0 0 6 0 11.1068879338714 19.1272822783057 -19.1272822783057 688.370070835429 -16.3598770785713 0.916 60 700 693.098117152254
2 24 2 2 11 0 0 2 2 0 13.6747557677562 13.7360432275325 12.2600117670319 679.330847736896 -1.26463950199664 0.72 60 700 692.687519737435
2 24 2 2 12 0 0 1 4 0 10.9886959598077 24.5721321308494 -24.4967254360175 673.909939076608 -18.5847790883504 0.752 60 700 673.131487898167
2 24 2 2 13 0 0 0 3 0 16.1864592434375 24.4286056669394 -24.4286056669394 701.30081387524 -11.9234415303065 0.914 60 700 697.449639759029
2 24 2 2 14 0 0 2 2 0 15.4149652311784 15.2676851817161 13.9009200539269 677.172926836059 -2.4139511770066 0.852 60 700 687.66925189367
2 24 2 2 15 0 0 1 1 0 20.354167600713 21.0129663190385 -18.0870395615373 692.634165708102 4.68107827763018 0.821 60 700 689.157456609155
2 24 2 3 1 0 0 0 5 0 13.2850723429825 18.6722388523463 18.6722388523463 702.953555883917 8.14237497025791 0.987 60 700 692.058523536847
2 24 2 3 2 0 1 3 5 2 74.9736645043488 46.9109725628031 -30.4011745491441 719.237849174622 12.244031797733 2.264 60 700 699.361137038655
2 24 2 3 3 0 0 0 1 6 38.1511888574296 44.2740763923555 44.2740763923555 720.450416253816 14.7036634790118 1.066 60 700 721.792906587478
2 24 2 3 4 0 0 3 3 0 7.32689377805827 6.54969542606425 2.3203782499783 674.56087621457 -5.25588057624759 0.752 60 700 687.991279014494
2 24 2 3 5 0 0 1 2 2 19.8671233686193 30.9038198167959 -30.7326405402522 672.543223667387 -19.1471224751599 0.859 60 700 685.899409534663
2 24 2 3 6 0 0 1 4 0 12.8760912545378 14.1335214183386 12.2905163427958 687.900739504248 5.43806854584068 0.839 60 700 669.723077099782
2 24 2 3 7 0.5 1 2 2 1 16.0894644907406 12.3479859695632 11.9785437663923 734.465558903892 -1.15878556857234 1.672 60 700 718.856035656653
2 24 2 3 8 0 0 0 5 0 6.29596107875758 8.52975264582448 -8.52975264582447 701.153973399545 -10.3973836146438 0.978 60 700 702.09970801874
2 24 2 3 9 0 0 0 4 0 4.6172680544155 9.11244493681261 9.11244493681261 689.88595822021 12.8982421508782 0.914 60 700 697.071732320283
2 24 2 3 10 0 0 1 6 0 12.4382186026194 15.0639193123298 14.9099884858805 670.735976176589 5.50002385793266 1.056 60 700 681.815224236009
2 24 2 3 11 0 0 2 2 0 6.08752662444609 4.95880700635603 -2.65017196657268 711.046549117436 -6.76793825222086 0.762 60 700 690.018115704218
2 24 2 3 12 0 0 1 2 1 26.3291502736701 26.9464488577015 -22.2763378959501 687.204954493835 9.71341953822525 0.8 60 700 705.930591488993
2 24 2 3 13 0 0 1 4 0 14.7211849062758 21.6680244720683 20.4077567366786 660.200621918254 17.4395762204916 1.028 60 700 683.904233061911
2 24 2 3 14 0 0 1 3 0 8.44474528711557 7.60619383361692 -7.12609420260568 664.622923567695 1.17024285058989 0.967 60 700 666.528318978271
2 24 2 3 15 0 0 2 3 0 10.9253506879022 7.8387030077775 7.56139679659266 713.257659748304 2.91732932197763 1.92 60 700 698.241362280981
2 24 2 4 1 0 0 0 3 0 9.86187560664222 13.9366610955499 13.9366610955499 662.267716856231 9.29898973195583 0.842 60 700 679.106030012987
2 24 2 4 2 0 0 1 4 1 14.2109579578457 16.1979437649981 14.5506541544991 679.35604359751 -4.62234005001159 0.681 60 700 672.170365309272
2 24 2 4 3 0 0 0 1 1 19.9618326738026 31.0884948378528 -31.0884948378528 707.860642056082 -4.27918543078869 0.649 60 700 705.274414678429
2 24 2 4 4 0 0 3 5 1 5.97839368744019 8.08559779316522 8.04032784467994 712.23940112328 -0.188381398535512 0.572 60 700 684.780986885588
2 24 2 4 5 0 0 3 5 0 12.1296992419572 10.8468363209193 6.88312299843541 733.811546802145 24.0959286985054 0.765 60 700 726.927781832556
2 24 2 4 6 0 0 0 2 0 11.5392530712626 23.9011112315901 23.9011112315901 715.50930627375 4.73631034216783 0.564 60 700 698.433962519006
2 24 2 4 7 0 0 1 3 0 5.36622519246373 7.16059394025823 -6.0689573210588 366.199995882268 3.68279999824945 0.562 60 700 385.576192211086
2 24 2 4 8 0 0 1 1 0 14.02481182554 11.3821034971411 0.847799939126663 669.773948224758 14.3128711102867 0.828 60 700 669.397490285107
2 24 2 4 9 0 0 0 4 0 15.0847184076684 18.9008262067048 18.9008262067048 450.087837729548 1.39223846389034 0.624 60 700 433.115458047851
2 24 2 4 10 0 0 1 6 0 18.4011289666614 17.8610429733478 -9.02339551575461 463.398975352967 11.2423147892212 0.722 60 700 454.53272709454
2 24 2 4 11 0 0 0 1 0 8.7854989912978 14.7796805082822 14.7796805082822 712.99454918332 3.28219970053328 0.492 60 700 710.499120337246
2 24 2 4 12 0 0 1 4 0 8.59020738856131 7.61993786393595 2.3220258426494 337.828705154932 -4.09462737519809 0.744 60 700 318.954542215658
2 24 2 4 13 0 0 0 2 1 7.87595374331385 6.77785388745891 -6.77785388745891 736.89993086374 -4.74256186196658 0.483 60 700 717.755529410955
2 24 2 4 14 0 0 1 12 0 5.8982072798402 12.4811435138043 12.33695356981 675.834532436704 9.62729276910818 1.1 60 700 704.247825697744
2 24 2 4 15 0 0 2 2 1 24.3430573985924 29.840804328417 -28.1490898884561 677.524687815983 6.1071597207314 0.661 60 700 675.600473652883
2 24 2 5 1 0 0 1 3 0 8.66744971834202 10.0644263746698 -8.60865410590708 700.060518110222 -6.02253960117869 0.878 60 700 699.206693331807
2 24 2 5 2 0 0 0 3 0 5.1182523084335 9.47221883138934 -9.47221883138934 284.323044327661 -3.06699596522959 0.527 60 700 287.577815556068
2 24 2 5 3 0 0 0 3 0 5.75729605859676 10.9943125928499 10.9943125928499 415.862191648636 1.90723810613015 0.604 60 700 415.260159418165
2 24 2 5 4 0 0 0 1 0 5.29437326345625 11.1436424301205 11.1436424301205 686.459901415633 5.55011247092466 0.68 60 700 687.553634271538
2 24 2 5 5 0 2 3 8 2 16.169044781169 13.9974313809712 2.49690926352809 549.55688977383 -12.8150264187919 1.374 60 700 559.343365027243
2 24 2 5 6 0 0 1 3 1 12.6470418238053 21.0180655502947 -20.0973559233991 662.319836012203 4.52048943901838 0.651 60 700 675.148131894031
2 24 2 5 7 0 0 1 2 0 11.2576264417233 23.4051542984266 23.0254159908705 682.09068312701 13.9391531783297 0.617 60 700 687.631441980368
2 24 2 5 8 0 0 0 4 0 19.8298349441243 24.3199536316343 24.3199536316343 671.89438616657 5.18978206173796 0.712 60 700 688.082843849489
2 24 2 5 9 0 0 0 3 2 3.58007518380069 8.90721052796708 -8.90721052796708 684.93010348968 -9.9876590658965 0.527 60 700 686.046645644449
2 24 2 5 10 0 0 0 3 1 21.1970085428692 31.9504388823019 31.9504388823019 226.93678608381 4.9694186733681 0.861 60 700 226.384628453435
2 24 2 5 11 0 0 2 2 0 9.94928604427202 10.1094975692067 6.61574818100915 688.221425016708 -4.03362714836885 0.592 60 700 701.849699009695
2 24 2 5 12 0 0 1 2 1 24.6441065455148 33.4046063271049 32.8076860211894 685.861161722661 8.91441756041098 0.82 60 700 673.964390750728
2 24 2 5 13 0 0 2 3 0 10.6210632792163 9.85808264703546 2.67704136182027 699.244025946268 -12.6012768581165 0.767 60 700 713.499124035902
2 24 2 5 14 0 0 0 1 1 12.6670897838148 35.1009804113772 -35.1009804113772 668.409333909396 -13.3402527261706 0.499 60 700 670.152221513889
2 24 2 5 15 0 0 0 1 1 12.4437108560291 26.8316859401592 -26.8316859401592 692.929626559673 -16.417449128065 0.61 60 700 695.662274383195
2 24 3 1 1 0 0 0 6 0 9.59599429339408 17.2390487700885 17.2390487700885 687.913933605721 12.9390861772958 1.025 60 700 695.025898798023
2 24 3 1 2 0 0 1 1 0 7.66787463756114 7.83962219830275 -4.14667619366042 203.827955166699 8.66975735313684 0.535 60 700 214.308189297563
2 24 3 1 3 0 0 1 8 0 10.9338926026608 8.98410777122745 -2.72412382262312 701.175140798473 6.43598681182314 1.209 60 700 690.803155754228
2 24 3 1 4 0 0 0 3 3 21.8744479747827 43.7839339281614 -43.7839339281614 321.400020181974 -18.0838886035893 0.84 60 700 304.138126514911
2 24 3 1 5 0 0 0 1 4 40.6489420880475 67.988497684362 -67.9884976843619 704.77479491077 -23.4624904577984 0.735 60 700 712.157988089722
2 24 3 1 6 0 0 1 4 1 20.5408184556163 30.3428080542775 30.342451542831 656.218735976911 1.40376382084878 0.639 60 700 673.190166297756
2 24 3 1 7 0 0 1 6 0 16.902485374967 15.2387612426029 -9.29776966277184 679.436872824398 7.9709376238132 0.885 60 700 683.733866354446
2 24 3 1 8 0 0 0 1 0 32.7473137959206 59.6842713693498 59.6842713693498 237.44941237904 25.3530384934132 0.635 60 700 234.252001058689
2 24 3 1 9 0 0 2 4 1 5.23158310947955 3.49894556241117 -3.36138265496387 696.224053517034 -3.47380257209618 0.78 60 700 713.339330192861
2 24 3 1 10 0 1 1 4 1 8.49661486611426 10.1053993529817 7.3969052293927 686.787536051042 4.56949941880058 0.499 60 700 668.563385177501
2 24 3 1 11 0 0 2 2 2 26.9138425018686 30.7244341513034 28.0502753361028 703.357961919417 -9.19659744492026 0.651 60 700 712.546138856987
2 24 3 1 12 0 0 1 8 0 8.99748063630397 8.3339276194345 1.60413819712567 665.890394747232 6.2435713638634 1.233 60 700 677.336696185878
2 24 3 1 13 0 0 1 2 0 32.1892517284125 39.9343157669419 36.1980118994288 659.664077390511 -9.39707404070924 0.643 60 700 646.371410258839
2 24 3 1 14 0 1 1 5 1 10.7772893436421 10.6256431609451 5.45299283496018 696.715464367632 5.24992485612893 0.731 60 700 697.914751241153
2 24 3 1 15 0 0 1 1 0 20.7848946602992 27.2173908461789 -27.1602389489905 695.431428976732 0.357199357427959 0.639 60 700 699.889276957434
2 24 3 2 1 0 0 0 4 2 5.76427764940627 9.51813133190092 9.51813133190092 672.863377941411 14.828169990724 0.91 60 700 686.05903536066
2 24 3 2 2 0 0 1 1 0 15.1344435837566 23.8912709280402 23.6103992380269 223.425537143214 -1.42455335670381 0.499 60 700 226.737733957099
2 24 3 2 3 0 1 0 3 2 7.57571596217219 8.15647622091866 8.15647622091866 704.710010619655 14.9599776886904 0.752 60 700 696.391412928103
2 24 3 2 4 0 0 1 2 0 16.8971207732719 24.4166016714308 24.2635300259743 687.312735450845 9.06662489994414 0.614 60 700 696.841445380511
2 24 3 2 5 0 0 1 4 0 34.4913227900584 40.6248122214873 -40.583984425791 686.639268137441 -2.74143241385434 0.755 60 700 692.338789899858
2 24 3 2 6 0 0 0 3 3 48.6551148231118 66.745723610329 66.745723610329 681.111291160562 22.1902918771292 1.154 60 700 680.342560773615
2 24 3 2 7 0 0 1 7 0 10.8707244414582 12.1821041310824 -8.39722317219204 712.293765495197 10.0792676654982 1.339 60 700 705.408392351551
2 24 3 2 8 0 0 2 4 0 15.4796025747892 14.8838705667258 9.22755461517516 680.579114737725 -14.03811179661 0.646 60 700 673.951036797185
2 24 3 2 9 0 0 1 5 0 15.1438180960135 12.4143003103231 -2.52823986257757 713.008843782612 7.16859036232435 1.2 60 700 705.159556412589
2 24 3 2 10 0 0 0 3 1 29.7794292799575 37.052484609216 -37.052484609216 705.183551076681 -11.2320652990432 1.109 60 700 695.241684596083
2 24 3 2 11 0 1 1 4 2 15.1296770694085 13.0762244203774 12.969108383233 723.454968842303 4.57253292858823 1.556 60 700 707.704034183782
2 24 3 2 12 0 0 1 10 0 7.58044893716191 9.71620954241875 -8.67171592209587 678.095590514991 -13.5414225295993 1.309 60 700 702.806516759769
2 24 3 2 13 0 0 1 2 1 23.8829718222559 26.3398846479397 26.0889792924207 671.017768767038 6.33671830726416 0.89 60 700 673.219132229618
2 24 3 2 14 0 0 2 3 3 18.6742333390287 26.6772993581799 -26.1470419561477 688.82009160133 -15.8392362927031 1.755 60 700 685.639117903872
2 24 3 2 15 0 0 0 1 2 24.7803245443013 28.1234097329537 28.1234097329538 677.407251764566 17.2457315524034 1.201 60 700 700.289225963102
2 24 3 3 1 0 0 0 13 0 6.90615403782143 12.7988024278169 12.7988024278169 683.960051071147 9.52095261797601 1.202 60 700 705.181536910887
2 24 3 3 2 0 0 1 9 0 3.40609620685384 4.3297844703724 -4.30233390460415 681.173448004099 -2.78095922415127 1.012 60 700 668.474382456052
