"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "x" "y" "rx" "ry"
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 554.152506084742 5.50670620214078e-14 178 -785 803.858835023995 41.472561457738
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 13 554.152506084742 5.50670620214078e-14 178 -783 801.888153025648 41.8137541619293
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 16 554.152506084742 5.50670620214078e-14 178 -780 798.932130028129 42.3255432182163
1 24 1 1 1 16 2 350 800 800 933 126 60 776 990 23 554.152506084742 5.50670620214078e-14 173 -773 791.181761273438 38.5930126870199
1 24 1 1 1 16 2 350 800 800 933 126 60 776 961 62 554.152506084742 5.50670620214078e-14 144 -734 747.806168094909 16.6713814427276
1 24 1 1 1 16 2 350 800 800 933 126 60 776 947 77 554.152506084742 5.50670620214078e-14 130 -719 730.637704177972 5.4355527357376
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 86 554.152506084742 5.50670620214078e-14 121 -710 720.234268016552 -1.89714908796032
1 24 1 1 1 16 2 350 800 800 933 126 60 776 936 90 554.152506084742 5.50670620214078e-14 119 -706 715.951711315668 -3.18544567792409
1 24 1 1 1 16 2 350 800 800 933 126 60 776 934 96 554.152506084742 5.50670620214078e-14 117 -700 709.698472616437 -4.13254956369656
1 24 1 1 1 16 2 350 800 800 933 126 60 776 933 99 554.152506084742 5.50670620214078e-14 116 -697 706.571853266822 -4.60610150658277
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 554.152506084742 5.50670620214078e-14 115 -696 705.415915915553 -5.42084615366032
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 554.152506084742 5.50670620214078e-14 115 -696 705.415915915553 -5.42084615366032
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 554.152506084742 5.50670620214078e-14 115 -696 705.415915915553 -5.42084615366032
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 554.152506084742 5.50670620214078e-14 115 -696 705.415915915553 -5.42084615366032
1 24 1 1 1 16 2 350 800 800 933 126 60 776 934 103 554.152506084742 5.50670620214078e-14 117 -693 702.801085622225 -2.93837509902693
1 24 1 1 1 16 2 350 800 800 933 126 60 776 937 104 554.152506084742 5.50670620214078e-14 120 -692 702.327533679338 0.188244250588355
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 106 554.152506084742 5.50670620214078e-14 121 -690 700.527448033088 1.51477795395287
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 107 554.152506084742 5.50670620214078e-14 121 -689 699.542107033914 1.68537430604853
1 24 1 1 1 16 3 350 933 126 666 773 60 783 856 561 284.682279041039 -2.8421709430404e-14 0 0 0 0
1 24 1 1 1 16 3 350 933 126 666 773 60 783 854 656 554.152506084742 5.50670620214078e-14 -2 95 72.0803559291511 -61.9146371153615
1 24 1 1 1 16 3 350 933 126 666 773 60 783 829 773 554.152506084742 5.50670620214078e-14 -27 212 175.894334444265 -121.384443444822
1 24 1 1 1 16 3 350 933 126 666 773 60 783 824 780 554.152506084742 5.50670620214078e-14 -32 219 184.444216819097 -122.332869180732
1 24 1 1 1 16 3 350 933 126 666 773 60 783 816 784 554.152506084742 5.50670620214078e-14 -40 223 192.762261791817 -119.044993296244
1 24 1 1 1 16 3 350 933 126 666 773 60 783 813 786 554.152506084742 5.50670620214078e-14 -43 225 196.25387357513 -118.145745191085
1 24 1 1 1 16 3 350 933 126 666 773 60 783 806 785 554.152506084742 5.50670620214078e-14 -50 224 200.181058659379 -112.265505628444
1 24 1 1 1 16 3 350 933 126 666 773 60 783 802 784 554.152506084742 5.50670620214078e-14 -54 223 202.106011634485 -108.619335577057
1 24 1 1 1 16 3 350 933 126 666 773 60 783 791 783 554.152506084742 5.50670620214078e-14 -65 222 208.702839530925 -99.7603366660766
1 24 1 1 1 16 3 350 933 126 666 773 60 783 787 785 554.152506084742 5.50670620214078e-14 -69 224 212.861862017285 -98.1163987238328
1 24 1 1 1 16 3 350 933 126 666 773 60 783 775 794 554.152506084742 5.50670620214078e-14 -81 233 227.572998987621 -95.1868170062445
1 24 1 1 1 16 3 350 933 126 666 773 60 783 766 807 554.152506084742 5.50670620214078e-14 -90 246 243.260663197153 -97.1609476121013
1 24 1 1 1 16 3 350 933 126 666 773 60 783 755 844 554.152506084742 5.50670620214078e-14 -101 283 278.155704902815 -113.663555416933
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 850 554.152506084742 5.50670620214078e-14 -103 289 283.958665331419 -116.17863996105
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 851 554.152506084742 5.50670620214078e-14 -103 290 284.703355168504 -116.846050664098
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 850 554.152506084742 5.50670620214078e-14 -103 289 283.958665331419 -116.17863996105
1 24 1 1 1 16 3 350 933 126 666 773 60 783 752 844 554.152506084742 5.50670620214078e-14 -104 283 280.157937011958 -111.429485905679
1 24 1 1 1 16 3 350 933 126 666 773 60 783 748 825 554.152506084742 5.50670620214078e-14 -108 264 268.678472919537 -95.7699231994335
1 24 1 1 1 16 3 350 933 126 666 773 60 783 728 799 554.152506084742 5.50670620214078e-14 -128 238 262.664751216287 -63.5234481784975
1 24 1 1 1 16 3 350 933 126 666 773 60 783 696 780 554.152506084742 5.50670620214078e-14 -160 219 269.872786809202 -27.0125700338778
1 24 1 1 1 16 3 350 933 126 666 773 60 783 688 777 554.152506084742 5.50670620214078e-14 -168 216 272.978002922329 -19.0528192280563
1 24 1 1 1 16 3 350 933 126 666 773 60 783 680 774 554.152506084742 5.50670620214078e-14 -176 213 276.083219035456 -11.0930684222349
1 24 1 1 1 16 3 350 933 126 666 773 60 783 678 774 554.152506084742 5.50670620214078e-14 -178 213 277.418040441552 -9.60368874806528
1 24 1 1 1 16 3 350 933 126 666 773 60 783 673 773 554.152506084742 5.50670620214078e-14 -183 212 280.010404119705 -5.21282885959363
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 554.152506084742 5.50670620214078e-14 -185 212 281.345225525801 -3.72344918542402
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 554.152506084742 5.50670620214078e-14 -185 212 281.345225525801 -3.72344918542402
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773 554.152506084742 5.50670620214078e-14 -185 212 281.345225525801 -3.72344918542402
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775 554.152506084742 5.50670620214078e-14 -191 214 286.839069418256 -0.590131569010623
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775 554.152506084742 5.50670620214078e-14 -191 214 286.839069418256 -0.590131569010623
1 24 1 1 1 16 3 350 933 126 666 773 60 783 664 775 554.152506084742 5.50670620214078e-14 -192 214 287.506480121304 0.154558268074169
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 985 378 186.601178988773 -2.1316282072803e-14 0 0 0 0
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1025 309 554.152506084742 5.50670620214078e-14 40 -69 78.3703515661061 14.8016213775701
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 294 554.152506084742 5.50670620214078e-14 47 -84 94.8439881029092 16.4200463073406
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 291 554.152506084742 5.50670620214078e-14 48 -87 98.0058116412026 16.366456077878
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 289 554.152506084742 5.50670620214078e-14 48 -89 99.8921877182862 15.7019372325418
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 279 554.152506084742 5.50670620214078e-14 49 -99 109.656327526372 13.3225310444023
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 275 554.152506084742 5.50670620214078e-14 51 -103 114.093598525875 13.8798694308134
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270 554.152506084742 5.50670620214078e-14 53 -108 119.47405756392 14.1049483945563
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270 554.152506084742 5.50670620214078e-14 53 -108 119.47405756392 14.1049483945563
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 262 554.152506084742 5.50670620214078e-14 53 -116 127.019561872254 11.4468730132113
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1039 256 554.152506084742 5.50670620214078e-14 54 -122 133.010949526173 10.3965045157444
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1043 243 554.152506084742 5.50670620214078e-14 58 -135 146.601431717888 9.84988417522584
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 241 554.152506084742 5.50670620214078e-14 59 -137 148.82006721764 10.1285533684314
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 240 554.152506084742 5.50670620214078e-14 59 -138 149.763255256182 9.79629394576325
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 238 554.152506084742 5.50670620214078e-14 59 -140 151.649631333265 9.13177510042701
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1045 233 554.152506084742 5.50670620214078e-14 60 -145 156.697830948642 8.41366602562817
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 230 554.152506084742 5.50670620214078e-14 61 -148 159.859654486935 8.36007579616556
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 226 554.152506084742 5.50670620214078e-14 61 -152 163.632406641102 7.03103810549309
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 225 554.152506084742 5.50670620214078e-14 61 -153 164.575594679644 6.69877868282497
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 224 554.152506084742 5.50670620214078e-14 62 -154 165.851042140854 7.3097072986986
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 222 554.152506084742 5.50670620214078e-14 62 -156 167.737418217938 6.64518845336237
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 221 554.152506084742 5.50670620214078e-14 62 -157 168.680606256479 6.31292903069424
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 554.152506084742 5.50670620214078e-14 62 -158 169.623794295021 5.98066960802613
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 554.152506084742 5.50670620214078e-14 62 -158 169.623794295021 5.98066960802613
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 554.152506084742 5.50670620214078e-14 62 -158 169.623794295021 5.98066960802613
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 554.152506084742 5.50670620214078e-14 62 -158 169.623794295021 5.98066960802613
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220 554.152506084742 5.50670620214078e-14 62 -158 169.623794295021 5.98066960802613
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 225 554.152506084742 5.50670620214078e-14 59 -153 163.911075834308 4.81240260574145
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 554.152506084742 5.50670620214078e-14 44 -142 148.552116070327 -5.6805643230356
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 554.152506084742 5.50670620214078e-14 44 -142 148.552116070327 -5.6805643230356
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 554.152506084742 5.50670620214078e-14 44 -142 148.552116070327 -5.6805643230356
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 554.152506084742 5.50670620214078e-14 44 -142 148.552116070327 -5.6805643230356
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236 554.152506084742 5.50670620214078e-14 44 -142 148.552116070327 -5.6805643230356
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1031 234 554.152506084742 5.50670620214078e-14 46 -144 151.103010992747 -4.45870709128832
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 233 554.152506084742 5.50670620214078e-14 47 -145 152.378458453956 -3.84777847541469
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 229 554.152506084742 5.50670620214078e-14 49 -149 156.81572945346 -3.29044008900365
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 228 554.152506084742 5.50670620214078e-14 50 -150 158.09117691467 -2.67951147313001
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 227 554.152506084742 5.50670620214078e-14 50 -151 159.034364953211 -3.01177089579813
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 226 554.152506084742 5.50670620214078e-14 50 -152 159.977552991753 -3.34403031846625
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 554.152506084742 5.50670620214078e-14 50 -153 160.920741030295 -3.67628974113437
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 554.152506084742 5.50670620214078e-14 50 -153 160.920741030295 -3.67628974113437
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225 554.152506084742 5.50670620214078e-14 50 -153 160.920741030295 -3.67628974113437
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 223 554.152506084742 5.50670620214078e-14 51 -155 163.139376530047 -3.39762054792885
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 222 554.152506084742 5.50670620214078e-14 51 -156 164.082564568588 -3.72987997059696
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 221 554.152506084742 5.50670620214078e-14 51 -157 165.02575260713 -4.06213939326508
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 901 413 449.952219685602 -2.8421709430404e-14 0 0 0 0
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 852 477 554.152506084742 5.50670620214078e-14 -49 64 78.4016579019198 -18.7130980393504
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 772 564 554.152506084742 5.50670620214078e-14 -129 151 195.365188022458 -35.6993460577299
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 738 591 554.152506084742 5.50670620214078e-14 -163 178 238.778686490471 -35.1815132972586
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 718 609 554.152506084742 5.50670620214078e-14 -183 196 265.652651038194 -36.5194331333261
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 708 614 554.152506084742 5.50670620214078e-14 -193 201 276.564920797483 -34.0858414049308
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 678 624 554.152506084742 5.50670620214078e-14 -223 211 306.145839432133 -22.9068766617084
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 665 627 554.152506084742 5.50670620214078e-14 -236 214 318.122666668957 -17.028474724169
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 660 630 554.152506084742 5.50670620214078e-14 -241 217 323.894390612923 -16.199497815775
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 659 630 554.152506084742 5.50670620214078e-14 -242 217 324.67002852453 -15.5683196871318
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 650 635 554.152506084742 5.50670620214078e-14 -251 222 334.806660372212 -13.7659060873796
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 642 639 554.152506084742 5.50670620214078e-14 -259 226 343.536476179643 -11.8190327046634
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 609 646 554.152506084742 5.50670620214078e-14 -292 233 373.550774163185 3.58038015931038
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 596 648 554.152506084742 5.50670620214078e-14 -305 235 384.896423271366 10.234420008457
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 592 651 554.152506084742 5.50670620214078e-14 -309 238 389.892509303725 10.4322187882079
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 592 651 554.152506084742 5.50670620214078e-14 -309 238 389.892509303725 10.4322187882079
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 588 661 554.152506084742 5.50670620214078e-14 -313 248 399.306842236585 5.2005521867078
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 582 671 554.152506084742 5.50670620214078e-14 -319 258 410.272450992661 1.23124184249403
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 576 684 554.152506084742 5.50670620214078e-14 -325 271 423.131594134666 -5.06498223654157
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 575 687 554.152506084742 5.50670620214078e-14 -326 274 425.800766432203 -6.76071784272023
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 566 697 554.152506084742 5.50670620214078e-14 -335 284 439.0932889231 -8.83649380100445
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 559 704 554.152506084742 5.50670620214078e-14 -342 291 448.941001204853 -9.84771228175322
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 557 705 554.152506084742 5.50670620214078e-14 -344 292 451.123455156711 -9.36099393607415
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 555 706 554.152506084742 5.50670620214078e-14 -346 293 453.305909108568 -8.87427559039509
